OTU.ID,copy number
Otu896,2.849958089
Otu897,2
Otu898,1.479946722
Otu899,2
Otu900,1.499250375
Otu901,3.717472119
Otu902,2.159988083
Otu903,2.5
Otu904,2.5
Otu905,4.926108374
Otu906,1.909988432
Otu907,1.47996357
Otu908,1
Otu909,2.059732235
Otu910,1
Otu911,1
Otu912,6.756756757
Otu913,3.90625
Otu914,2.670012224
Otu915,1.479837218
Otu916,1.670046523
Otu917,2.159988083
Otu918,1
Otu919,2.219999885
Otu920,2.219999885
Otu921,2.219999885
Otu922,1
Otu925,1.670046523
Otu927,1.479999452
Otu928,2.249913465
Otu929,2.670012224
Otu930,10.6284658
Otu931,1.499250375
Otu932,2
Otu933,1.670046523
Otu934,1.480019734
Otu935,2.279635258
Otu936,2.861230329
Otu937,2.280010842
Otu938,2.219999885
Otu939,2
Otu940,2
Otu941,2
Otu942,1.910219675
Otu943,4
Otu944,2.219999885
Otu945,2.219999885
Otu946,2
Otu947,2.099370189
Otu950,5.258545136
Otu951,1.480019734
Otu952,2.219999885
Otu953,2
Otu956,2.980181791
Otu957,1
Otu958,2.219999885
Otu959,2.670012224
Otu960,2.5
Otu961,1.669913721
Otu962,2
Otu963,2.5
Otu964,1
Otu965,20
Otu966,2.219999885
Otu967,2.219999885
Otu968,1
Otu969,1.3500135
Otu970,2.219999885
Otu971,1.839989096
Otu972,3.344481605
Otu973,2
Otu974,1
Otu975,1
Otu976,2.219999885
Otu977,2.219999885
Otu978,2
Otu979,2.5
Otu980,2.219999885
Otu981,3.516998828
Otu982,1.480011144
Otu983,1.669913721
Otu985,2
Otu986,1
Otu987,1.2300123
Otu988,1
Otu989,2.219999885
Otu990,1.809997482
Otu991,2.229999079
Otu992,2.670012224
Otu993,2
Otu994,1.12
Otu995,1.579986833
Otu996,2
Otu997,2.280010842
Otu998,2.859933036
Otu999,2.219999885
Otu1000,1.669982072
Otu1001,1.809997482
Otu1002,2.280010842
Otu1003,2.219999885
Otu1004,2.219999885
Otu1005,2.5
Otu1006,2.219999885
Otu1007,2
Otu1008,2.631578947
Otu1009,1.479999452
Otu1010,2.5
Otu1011,2.219999885
Otu1012,2.976190476
Otu1013,3.976836671
Otu1014,4
Otu1016,1.479999452
Otu1017,1
Otu1018,1.479983227
Otu1019,1.400015556
Otu1020,2.959997262
Otu1021,1
Otu1022,2.220051505
Otu1023,1.479999452
Otu1024,2.670023267
Otu1025,2.219999885
Otu1026,2
Otu1027,4.87804878
Otu1028,3.738317757
Otu1029,2.219999885
Otu1030,3.349953256
Otu1031,2.670226969
Otu1032,2.159988083
Otu1033,1.480019734
Otu1034,2
Otu1035,1.670046523
Otu1036,2
Otu1037,2.959997262
Otu1038,1
Otu1039,2.219999885
Otu1040,3.738317757
Otu1042,1
Otu1043,2.219999885
Otu1044,1.5
Otu1045,2.219999885
Otu1046,2
Otu1047,2
Otu1048,1.2300123
Otu1049,1
Otu1050,1.579986833
Otu1051,1.669913721
Otu1052,1.839989096
Otu1053,2.680009202
Otu1054,2.219999885
Otu1055,1
Otu1056,2.670012224
Otu1057,1.480002753
Otu1058,1.480011144
Otu1059,1
Otu1060,1
Otu1061,2.670012224
Otu1062,1.479999452
Otu1063,1
Otu1064,2
Otu1065,4.3801079
Otu1066,1.479998259
Otu1067,2.219999885
Otu1068,2
Otu1069,5.847953216
Otu1070,2
Otu1071,4
Otu1072,2.260037224
Otu1073,4
Otu1074,1.480011144
Otu1075,2.219999885
Otu1076,1.909988432
Otu1077,2.219999885
Otu1078,2.5
Otu1079,2.5
Otu1080,2
Otu1081,4
Otu1082,1.909988432
Otu1083,1.809997482
Otu1084,3.516998828
Otu1085,2
Otu1086,1.479986546
Otu1087,1
Otu1088,4.009964153
Otu1089,2.670226969
Otu1090,3.086419753
Otu1091,1.480019734
Otu1093,2
Otu1094,2.5
Otu1095,2.670012224
Otu1097,1.480002753
Otu1098,1.480019734
Otu1099,1
Otu1100,1.480011144
Otu1101,2.262443439
Otu1102,2.280010842
Otu1103,2.580645161
Otu1105,2.670012224
Otu1106,5.847953216
Otu1107,2.5
Otu1108,1
Otu1109,2
Otu1110,3.249856624
Otu1111,1.969796454
Otu1112,2.219755827
Otu1113,3.90625
Otu1114,2.219999885
Otu1115,2
Otu1116,2.260037224
Otu1118,2.801120448
Otu1119,2.801120448
Otu1120,3.448275862
Otu1121,2.670012224
Otu1122,2
Otu1123,2.920002014
Otu1124,2.260037224
Otu1125,2.670226969
Otu1126,2.219999885
Otu1127,2.219999885
Otu1129,4.385964912
Otu1130,1.480019734
Otu1131,2.219999885
Otu1132,2
Otu1133,1.480002753
Otu1134,2.28050171
Otu1135,2.670012224
Otu1136,2.980181791
Otu1137,1.479999452
Otu1138,2.57997936
Otu1139,1.479999452
Otu1140,1
Otu1141,1.4803849
Otu1142,1.480011144
Otu1143,2
Otu1144,2.790178571
Otu1145,2.219999885
Otu1146,1.479999452
Otu1147,2.5
Otu1148,2.280010842
Otu1149,1.480011144
Otu1150,1.519756839
Otu1151,1
Otu1153,2.219999885
Otu1154,3.000428633
Otu1155,1.809997482
Otu1156,1.479999452
Otu1157,2
Otu1158,1.479956245
Otu1159,4.3801079
Otu1160,2
Otu1161,2.219999885
Otu1162,2.280010842
Otu1163,2.219999885
Otu1164,2.229999079
Otu1165,1
Otu1166,2.5
Otu1167,2.059732235
Otu1168,2.219999885
Otu1169,2
Otu1170,2.670012224
Otu1171,2.219999885
Otu1172,2.219999885
Otu1173,1.480019734
Otu1174,2.219999885
Otu1175,2.859933036
Otu1176,2.060035315
Otu1177,1
Otu1178,1.670046523
Otu1179,4.189944134
Otu1180,2.329916123
Otu1181,1
Otu1182,2.219999885
Otu1183,6.134969325
Otu1184,2.219999885
Otu1185,2.670012224
Otu1186,1.480019734
Otu1188,2.219999885
Otu1189,5.847953216
Otu1190,2
Otu1192,6.329113924
Otu1194,2.670012224
Otu1195,2.219999885
Otu1196,1
Otu1197,1.479999452
Otu1198,2.219999885
Otu1199,4.009964153
Otu1201,1.480019734
Otu1202,1
Otu1204,2.219999885
Otu1205,2.159988083
Otu1206,2.959997262
Otu1207,1.809997482
Otu1208,1
Otu1209,2
Otu1210,2.219999885
Otu1211,1.839989096
Otu1212,2.010050251
Otu1213,2.28050171
Otu1214,2.280010842
Otu1215,2
Otu1216,2.219999885
Otu1217,2
Otu1218,2
Otu1219,2.229999079
Otu1220,1.579986833
Otu1221,2.010050251
Otu1222,2.277904328
Otu1223,1.480019734
Otu1224,2.219999885
Otu1225,1.500025863
Otu1226,2.219999885
Otu1227,2.57997936
Otu1228,1.670046523
Otu1229,1
Otu1230,2.219999885
Otu1231,2.06185567
Otu1232,2
Otu1233,1
Otu1234,2.229999079
Otu1235,2.849958089
Otu1236,1.479986546
Otu1237,1.839989096
Otu1238,2.980181791
Otu1239,1
Otu1240,2.219999885
Otu1241,2
Otu1242,2
Otu1243,1.479999452
Otu1244,2.859933036
Otu1245,2.219999885
Otu1246,2
Otu1247,1.479999452
Otu1248,2.219999885
Otu1249,1
Otu1250,2
Otu1251,2
Otu1252,2.670012224
Otu1253,2.670012224
Otu1254,1.480002753
Otu1255,2.210759027
Otu1256,2.669952762
Otu1257,2.219999885
Otu1258,3.670473083
Otu1259,2
Otu1260,2
Otu1261,2.280010842
Otu1262,4
Otu1263,2.859933036
Otu1264,1
Otu1265,2.060035315
Otu1266,3.349953256
Otu1267,1.480019734
Otu1268,2
Otu1269,1.480011144
Otu1270,2
Otu1271,1.669982072
Otu1272,1
Otu1273,2
Otu1274,2.99982354
Otu1275,1.909988432
Otu1276,1.500025863
Otu1279,1.670046523
Otu1280,1
Otu1281,3.349953256
Otu1282,1.809997482
Otu1283,2.5
Otu1284,2.219999885
Otu1285,1.480002753
Otu1286,2.669952762
Otu1287,2.670012224
Otu1290,2.5
Otu1291,1
Otu1292,2.219999885
Otu1293,2.219999885
Otu1294,1
Otu1295,1.669982072
Otu1296,2.219999885
Otu1297,4
Otu1299,1.480011144
Otu1300,2.849958089
Otu1301,2
Otu1302,2.670012224
Otu1303,2.99850075
Otu1304,1.500025863
Otu1305,2.220051505
Otu1307,2.219999885
Otu1308,2.670012224
Otu1309,1.479998259
Otu1310,2.280010842
Otu1311,2.279635258
Otu1312,2
Otu1313,1.479956245
Otu1314,2.260037224
Otu1315,4
Otu1316,2.280010842
Otu1318,1.5
Otu1319,1.809997482
Otu1320,1
Otu1321,1.839926403
Otu1322,2.219999885
Otu1323,1
Otu1324,2.5
Otu1325,5
Otu1327,1
Otu1328,2.959997262
Otu1329,4.929577465
Otu1330,1.670046523
Otu1331,2.219999885
Otu1332,2
Otu1333,2.050230651
Otu1334,1
Otu1335,1.25
Otu1336,2.229999079
Otu1337,2.219999885
Otu1338,1.400015556
Otu1339,1.480011144
Otu1340,1
Otu1342,1
Otu1343,3.086419753
Otu1344,1.670046523
Otu1345,1.839989096
Otu1346,2
Otu1347,1.809997482
Otu1348,3.976836671
Otu1349,1
Otu1350,2.670023267
Otu1351,2.249913465
Otu1352,4
Otu1353,2.219999885
Otu1354,1.839989096
Otu1355,3.738317757
Otu1356,1.479956245
Otu1357,2.219999885
Otu1358,1
Otu1359,2.5
Otu1360,2
Otu1361,2.5
Otu1362,1
Otu1363,2.219999885
Otu1364,2.219999885
Otu1365,2.670226969
Otu1366,1
Otu1368,2.219999885
Otu1369,1.4799741
Otu1370,2.920002014
Otu1371,2.859933036
Otu1372,2
Otu1373,4
Otu1374,2.669952762
Otu1375,1
Otu1376,5.076142132
Otu1377,3.328894807
Otu1378,2
Otu1379,1.480011144
Otu1380,2.959997262
Otu1381,1
Otu1382,2.980181791
Otu1383,4
Otu1384,10.20408163
Otu1386,2.280010842
Otu1387,2.219999885
Otu1388,4.009964153
Otu1389,2.219999885
Otu1390,2
Otu1392,2.219999885
Otu1393,1.670046523
Otu1394,2.670012224
Otu1395,2.670012224
Otu1396,1.25
Otu1397,2.99850075
Otu1398,1.4799741
Otu1399,2
Otu1400,1
Otu1401,1.480019734
Otu1402,1
Otu1403,2
Otu1404,1.479999452
Otu1406,2.22000222
Otu1407,1
Otu1408,3.976836671
Otu1409,2.280010842
Otu1410,2.669952762
Otu1411,1.809997482
Otu1412,2.5
Otu1413,1
Otu1414,2.219999885
Otu1416,2.99850075
Otu1417,2.670012224
Otu1418,2
Otu1419,2.920002014
Otu1420,1.480011144
Otu1421,2.219999885
Otu1422,1.669913721
Otu1423,8
Otu1424,1.500025863
Otu1425,1
Otu1426,2.849958089
Otu1427,5.258545136
Otu1428,7.462686567
Otu1429,2.5
Otu1430,1.969796454
Otu1431,2.219999885
Otu1432,2.920002014
Otu1433,2.5
Otu1434,2
Otu1435,1.480002753
Otu1436,2.219999885
Otu1437,2.747252747
Otu1438,3.003003003
Otu1439,1.12
Otu1440,1.480011144
Otu1441,3.349953256
Otu1442,2.219999885
Otu1443,2
Otu1444,1
Otu1445,2.219999885
Otu1446,1.480011144
Otu1447,2
Otu1448,5.258545136
Otu1449,2.219999885
Otu1450,2.219999885
Otu1451,2.670012224
Otu1452,1
Otu1454,1.479999452
Otu1455,1
Otu1456,2
Otu1457,1.479837218
Otu1458,1.479983227
Otu1459,2.670012224
Otu1460,2
Otu1461,2.279635258
Otu1462,2.280010842
Otu1463,2.28050171
Otu1464,4
Otu1465,1
Otu1466,2.219999885
Otu1467,2.959997262
Otu1468,3.976836671
Otu1469,2
Otu1470,3.249856624
Otu1471,1.480011144
Otu1472,3.003003003
Otu1473,2.980181791
Otu1474,1
