,resT0,resT1,resT2,resT3,bareT0,bareT1,bareT2,bareT3,trancom,resT0,Genus0,resT1,Genus1,resT2,Genus2,resT3,Genus3,bareT0,Genus4,bareT1,Genus5,bareT2,Genus6,bareT3,Genus7,,,,OTUID,Genus,OTUID,Genus,OTUID,Genus,OTUID,Genus
41,,,,,,,,,trancom,Otu2600,Unrecognized,Otu3460,Unrecognized,Otu555,Unrecognized,Otu1189,Unrecognized,Otu722,Unrecognized,,,,,Otu1069,Unrecognized,,,,Otu722,Unrecognized,Otu1784,Aquicella,Otu128,Unrecognized,Otu1069,Unrecognized
42,,,,,,,,,trancom,Otu5554,Haliangium,Otu1310,Unrecognized,Otu609,Unrecognized,Otu1306,Schlesneria,Otu902,Unrecognized,,,,,Otu3127,Unrecognized,,,,Otu902,Unrecognized,Otu4012,Chthoniobacter,Otu394,Unrecognized,Otu3127,Unrecognized
43,,,,,,,,,trancom,Otu4251,Unrecognized,Otu1065,Unrecognized,Otu7022,Unrecognized,Otu1005,Unrecognized,Otu1903,Unrecognized,,,,,Otu912,Skermanella,,,,Otu1903,Unrecognized,Otu157,Terrimonas,Otu617,Pir4 lineage,Otu912,Skermanella
44,,,,,,,,,trancom,Otu1716,Unrecognized,Otu173,Stenotrophobacter,Otu1745,Unrecognized,Otu6826,Unrecognized,Otu3819,Unrecognized,,,,,Otu2611,Gemmatimonas,,,,Otu3819,Unrecognized,Otu56,Unrecognized,Otu962,Unrecognized,Otu2611,Gemmatimonas
45,,,,,,,,,trancom,Otu2070,Unrecognized,Otu1935,Unrecognized,Otu253,Unrecognized,Otu1410,Unrecognized,Otu4426,Bdellovibrio,,,,,Otu2691,Unrecognized,,,,Otu4426,Bdellovibrio,Otu59,Sphingomonas,Otu1026,Aquicella,Otu2691,Unrecognized
46,,,,,,,,,trancom,Otu1679,Unrecognized,Otu6298,Chthonomonas,Otu3119,Actinoplanes,Otu6358,Haliangium,Otu4821,Chloronema,,,,,Otu3692,Unrecognized,,,,Otu4821,Chloronema,Otu1205,Unrecognized,Otu5728,Unrecognized,Otu3692,Unrecognized
47,,,,,,,,,trancom,Otu804,Paenibacillus,Otu13,Bradyrhizobium,,,Otu1647,Unrecognized,Otu1212,Galbitalea,,,,,Otu1217,Unrecognized,,,,Otu1212,Galbitalea,Otu263,Unrecognized,Otu60,Ellin6067,Otu1217,Unrecognized
48,,,,,,,,,trancom,Otu2097,Unrecognized,Otu2139,Unrecognized,,,Otu768,Cohnella,Otu3848,Unrecognized,,,,,Otu2101,Unrecognized,,,,Otu2009,Unrecognized,Otu1002,Unrecognized,Otu2101,Unrecognized,,
49,,,,,,,,,trancom,Otu6338,Unrecognized,Otu424,Opitutus,,,Otu1831,Unrecognized,Otu5525,Unrecognized,,,,,Otu1002,Unrecognized,,,,Otu3222,Unrecognized,Otu1699,Actinomadura,,,,
50,,,,,,,,,trancom,Otu1354,Unrecognized,Otu1155,Unrecognized,,,Otu1869,Unrecognized,Otu210,Phaselicystis,,,,,Otu1699,Actinomadura,,,,,,,,,,,
51,,,,,,,,,trancom,Otu1172,Unrecognized,Otu2323,Unrecognized,,,Otu2750,Unrecognized,Otu966,Unrecognized,,,,,Otu2009,Unrecognized,,,,,,,,,,,
52,,,,,,,,,trancom,Otu3586,Unrecognized,Otu259,Unrecognized,,,Otu2598,Unrecognized,Otu1183,Acinetobacter,,,,,Otu3222,Unrecognized,,,,,,,,,,,
53,,,,,,,,,trancom,Otu4953,Bdellovibrio,Otu1146,Unrecognized,,,Otu555,Unrecognized,Otu1975,Unrecognized,,,,,Otu617,Pir4 lineage,,,,,,,,,,,
54,,,,,,,,,trancom,Otu930,Paenibacillus,Otu283,Unrecognized,,,Otu7139,Unrecognized,Otu6044,Unrecognized,,,,,Otu962,Unrecognized,,,,,,,,,,,
